Field Code,Description,Census Table,Universe
P0010001,Total:,P1. RACE,Total population
P0010002,Population of one race:,P1. RACE,Total population
P0010003,White alone,P1. RACE,Total population
P0010004,Black or African American alone,P1. RACE,Total population
P0010005,American Indian and Alaska Native alone,P1. RACE,Total population
P0010006,Asian alone,P1. RACE,Total population
P0010007,Native Hawaiian and Other Pacific Islander alone,P1. RACE,Total population
P0010008,Some Other Race alone,P1. RACE,Total population
P0010009,Population of two or more races:,P1. RACE,Total population
P0010010,Population of two races:,P1. RACE,Total population
P0010011,White; Black or African American,P1. RACE,Total population
P0010012,White; American Indian and Alaska Native,P1. RACE,Total population
P0010013,White; Asian,P1. RACE,Total population
P0010014,White; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010015,White; Some Other Race,P1. RACE,Total population
P0010016,Black or African American; American Indian and Alaska Native,P1. RACE,Total population
P0010017,Black or African American; Asian,P1. RACE,Total population
P0010018,Black or African American; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010019,Black or African American; Some Other Race,P1. RACE,Total population
P0010020,American Indian and Alaska Native; Asian,P1. RACE,Total population
P0010021,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010022,American Indian and Alaska Native; Some Other Race,P1. RACE,Total population
P0010023,Asian; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010024,Asian; Some Other Race,P1. RACE,Total population
P0010025,Native Hawaiian and Other Pacific Islander; Some Other Race,P1. RACE,Total population
P0010026,Population of three races:,P1. RACE,Total population
P0010027,White; Black or African American; American Indian and Alaska Native,P1. RACE,Total population
P0010028,White; Black or African American; Asian,P1. RACE,Total population
P0010029,White; Black or African American; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010030,White; Black or African American; Some Other Race,P1. RACE,Total population
P0010031,White; American Indian and Alaska Native; Asian,P1. RACE,Total population
P0010032,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010033,White; American Indian and Alaska Native; Some Other Race,P1. RACE,Total population
P0010034,White; Asian; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010035,White; Asian; Some Other Race,P1. RACE,Total population
P0010036,White; Native Hawaiian and Other Pacific Islander; Some Other Race,P1. RACE,Total population
P0010037,Black or African American; American Indian and Alaska Native; Asian,P1. RACE,Total population
P0010038,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010039,Black or African American; American Indian and Alaska Native; Some Other Race,P1. RACE,Total population
P0010040,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P1. RACE,Total population
P0010041,Black or African American; Asian; Some Other Race,P1. RACE,Total population
P0010042,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,P1. RACE,Total population
